Atom,CDD,Electrophilicity,Nucleophilicity,f+,f-,f0,q(N),q(N+1),q(N-1),s+,s+/s-,s-,s-/s+,s0,yield
3(C,0.0063,0.09559,0.10715999999999999,0.0683,0.062,0.0652,0.0227,-0.0456,0.0847,0.2104,1.1018,0.1909,0.9076,0.2006,47.3
2(C,0.0136,0.08762,0.08481,0.0626,0.0491,0.0559,-0.0366,-0.0992,0.0125,0.1928,1.2761,0.1511,0.7836,0.172,19.7
3(C,0.0022,0.09278,0.1158,0.0712,0.069,0.0701,0.0246,-0.0466,0.0936,0.2097,1.0318,0.2033,0.9692,0.2065,49.8
2(C,0.0144,0.08711,0.08801,0.0669,0.0525,0.0597,-0.0286,-0.0955,0.0239,0.1969,1.2744,0.1545,0.7847,0.1757,12.2
3(C,0.0054,0.12036,0.08913,0.0814,0.076,0.0787,0.0328,-0.0487,0.1088,0.2293,1.0711,0.2141,0.9336,0.2217,40.9
2(C,0.0143,0.11448,0.07406,0.0774,0.0632,0.0703,-0.0215,-0.0989,0.0417,0.2181,1.2261,0.1779,0.8156,0.198,17.1
9(C,-0.0591,0.0477,0.27078,0.0569,0.116,0.0865,0.0102,-0.0467,0.1263,0.1653,0.4907,0.3369,2.038,0.2511,22.5
10(C,-0.0589,0.03874,0.24534,0.0462,0.1051,0.0757,-0.0514,-0.0976,0.0537,0.1342,0.4398,0.3052,2.274,0.2197,20.5
3(C,0.0184,0.05012,0.13535999999999998,0.0641,0.0458,0.0549,0.0147,-0.0494,0.0605,0.1983,1.4018,0.1415,0.7134,0.1699,51.0
4(C,-0.0663,0.08907000000000001,0.43054,0.0959,0.1622,0.129,-0.0102,-0.106,0.152,0.292,0.5911,0.494,1.6917,0.393,57.0
4(C,-0.0491,0.05093,0.25943,0.0499,0.099,0.0744,-0.0077,-0.0576,0.0913,0.1618,0.5036,0.3213,1.9858,0.2416,68.0
8(C,0.0315,0.0046,0.17125,0.081,0.0495,0.0652,-0.0177,-0.0987,0.0318,0.1257,1.6359,0.0768,0.6113,0.1013,51.0
4(C,-0.0777,0.04784,0.33376999999999996,0.0541,0.1317,0.0929,-0.0143,-0.0683,0.1175,0.1556,0.4104,0.3793,2.4368,0.2675,33.0
5(C,0.052,0.16852,0.13312000000000002,0.1244,0.0724,0.0984,0.031,-0.0934,0.1034,0.3806,1.7187,0.2214,0.5818,0.301,69.0
5(C,0.045,0.1585,0.10438,0.1086,0.0636,0.0861,0.0306,-0.078,0.0942,0.3443,1.7078,0.2016,0.5855,0.2729,26.0
3(C,-0.0173,0.07357000000000001,0.11107,0.0504,0.0677,0.059,0.0286,-0.0218,0.0963,0.1598,0.745,0.2145,1.3423,0.1871,39.0
2(C,-0.0926,0.08842,0.31745999999999996,0.0822,0.1748,0.1285,-0.077,-0.1593,0.0977,0.2292,0.4704,0.4873,2.1257,0.3583,87.0
1(C,-0.0426,0.08015,0.2394,0.0646,0.1072,0.0859,-0.0374,-0.102,0.0698,0.2106,0.6026,0.3495,1.6595,0.2801,13.2
2(C,-0.0216,0.07898,0.19029000000000001,0.0636,0.0852,0.0744,-0.0346,-0.0983,0.0506,0.2075,0.747,0.2778,1.3387,0.2427,13.2
3(C,0.0111,0.08506,0.12836,0.0685,0.0575,0.063,-0.0327,-0.1012,0.0248,0.2235,1.1928,0.1874,0.8384,0.2055,13.2
4(C,-0.0458,0.0783,0.24331,0.0631,0.1089,0.086,-0.0392,-0.1023,0.0698,0.2058,0.5793,0.3552,1.7264,0.2805,13.2
5(C,0.021,0.07574,0.15686,0.0853,0.0643,0.0748,-0.0002,-0.0855,0.0641,0.2522,1.3266,0.1901,0.7538,0.2211,57.0
4(C,-0.0423,0.07479,0.24795,0.0634,0.1057,0.0845,-0.0401,-0.1034,0.0656,0.2081,0.5995,0.3472,1.6681,0.2777,42.7
3(C,-0.0035,0.07601000000000001,0.15928,0.0644,0.0679,0.0662,-0.0361,-0.1005,0.0318,0.2116,0.9485,0.223,1.0543,0.2173,21.3
7(C,0.0026,0.08621000000000001,0.1218,0.0684,0.0658,0.0671,0.0469,-0.0215,0.1127,0.205,1.0392,0.1973,0.9623,0.2012,23.5
8(C,0.054,0.14854,0.11817000000000001,0.1178,0.0638,0.0908,-0.0357,-0.1535,0.0282,0.3533,1.8457,0.1914,0.5418,0.2723,23.5
1(C,0.0517,0.10755999999999999,0.08907000000000001,0.0885,0.0368,0.0627,-0.0264,-0.1149,0.0105,0.2849,2.4031,0.1186,0.4161,0.2018,28.8
2(C,0.0208,0.09187999999999999,0.13255,0.0756,0.0548,0.0652,-0.0258,-0.1013,0.0291,0.2434,1.3793,0.1765,0.725,0.2099,21.2
